GET / - [31/Dec/2024:18:32:13 +0000] - - ms localhost
GET /events 200 [31/Dec/2024:18:37:07 +0000] - 248.793 ms localhost
GET /styles.css 200 [31/Dec/2024:18:37:08 +0000] - 20.301 ms localhost
GET /polyfills.js 304 [31/Dec/2024:18:37:08 +0000] - 25.989 ms localhost
GET /main.js 304 [31/Dec/2024:18:37:08 +0000] - 24.185 ms localhost
GET /@vite/client 304 [31/Dec/2024:18:37:08 +0000] - 43.063 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [31/Dec/2024:18:37:09 +0000] - 5.259 ms localhost
GET /favicon.ico 304 [31/Dec/2024:18:37:10 +0000] - 204.689 ms localhost
GET /styles.css.map 200 [31/Dec/2024:18:37:12 +0000] - 10.819 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [31/Dec/2024:18:37:12 +0000] - 61.803 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [31/Dec/2024:18:37:12 +0000] - 93.705 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [31/Dec/2024:18:37:12 +0000] - 105.194 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [31/Dec/2024:18:37:12 +0000] - 166.904 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [31/Dec/2024:18:37:12 +0000] - 190.499 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [31/Dec/2024:18:37:12 +0000] - 166.172 ms localhost
