GET / - [07/Jan/2025:18:32:19 +0000] - - ms localhost
GET /services/details?data=%5B%7B%22_id%22:%22676a49d65f3e79805ff156c1%22,%22name%22:%22Decor%22,%22img%22:%221736073037702_artifitial%20decor3.jpg%22,%22events%22:%5B%22Marriage%22,%22Engagement%22,%22Birthday%22%5D,%22provider%22:%22673ac7d8306657184e800578%22,%22choices%22:%5B%7B%22choiceName%22:%22Natural%20Materials%22,%22choiceType%22:%22%22,%22choicePrice%22:10000,%22choiceImg%22:%221736073037708_natural%20decor1.jpg%22,%22_id%22:%22676a49d65f3e79805ff156c2%22%7D,%7B%22choiceName%22:%22Artificial%20Materials%22,%22choiceType%22:%22%22,%22choicePrice%22:10000,%22choiceImg%22:%221735018966975_artifitial%20decor.webp%22,%22_id%22:%22676a49d65f3e79805ff156c3%22%7D%5D,%22isApproved%22:true,%22isActive%22:true,%22createdAt%22:%222024-12-24T05:42:47.009Z%22,%22updatedAt%22:%222025-01-05T10:30:37.854Z%22,%22__v%22:0%7D%5D&service=Decor 200 [07/Jan/2025:18:33:59 +0000] - 172.388 ms localhost
GET /@vite/client 304 [07/Jan/2025:18:33:59 +0000] - 8.892 ms localhost
GET /styles.css 200 [07/Jan/2025:18:33:59 +0000] - 6.910 ms localhost
GET /polyfills.js 304 [07/Jan/2025:18:33:59 +0000] - 2.885 ms localhost
GET /main.js 200 [07/Jan/2025:18:34:01 +0000] - 11.905 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [07/Jan/2025:18:34:02 +0000] - 3.328 ms localhost
GET /styles.css.map 200 [07/Jan/2025:18:34:03 +0000] - 38.288 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [07/Jan/2025:18:34:04 +0000] - 14.084 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [07/Jan/2025:18:34:04 +0000] - 14.139 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [07/Jan/2025:18:34:04 +0000] - 18.794 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [07/Jan/2025:18:34:04 +0000] - 22.628 ms localhost
