
GET / - [09/Jan/2025:18:33:42 +0000] - - ms localhost
GET /login 200 [09/Jan/2025:18:33:46 +0000] - 20.099 ms localhost
GET /@vite/client 304 [09/Jan/2025:18:33:46 +0000] - 3.816 ms localhost
GET /styles.css 200 [09/Jan/2025:18:33:46 +0000] - 2.856 ms localhost
GET /polyfills.js 304 [09/Jan/2025:18:33:46 +0000] - 2.174 ms localhost
GET /main.js 200 [09/Jan/2025:18:33:46 +0000] - 10.220 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [09/Jan/2025:18:33:46 +0000] - 2.301 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [09/Jan/2025:18:33:46 +0000] - 3.844 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [09/Jan/2025:18:33:46 +0000] - 11.886 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [09/Jan/2025:18:33:46 +0000] - 18.868 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [09/Jan/2025:18:33:46 +0000] - 23.733 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [09/Jan/2025:18:33:46 +0000] - 28.430 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [09/Jan/2025:18:33:46 +0000] - 25.937 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [09/Jan/2025:18:33:47 +0000] - 66.370 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [09/Jan/2025:18:33:47 +0000] - 111.938 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [09/Jan/2025:18:33:47 +0000] - 94.025 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [09/Jan/2025:18:33:47 +0000] - 3.349 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [09/Jan/2025:18:33:47 +0000] - 10.502 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [09/Jan/2025:18:33:47 +0000] - 3.044 ms localhost
GET /styles.css.map 200 [09/Jan/2025:18:33:47 +0000] - 3.698 ms localhost
GET /login.component.css.map 200 [09/Jan/2025:18:33:47 +0000] - 5.838 ms localhost
GET /favicon.ico 304 [09/Jan/2025:18:33:48 +0000] - 3.291 ms localhost
GET /login 200 [09/Jan/2025:18:33:56 +0000] - 9.927 ms localhost
GET / - [09/Jan/2025:18:33:56 +0000] - - ms localhost
GET /@vite/client 304 [09/Jan/2025:18:33:56 +0000] - 7.826 ms localhost
GET /styles.css 200 [09/Jan/2025:18:33:56 +0000] - 12.269 ms localhost
GET /polyfills.js 304 [09/Jan/2025:18:33:56 +0000] - 13.871 ms localhost
GET /main.js 304 [09/Jan/2025:18:33:56 +0000] - 6.935 ms localhost
GET /styles.css.map 200 [09/Jan/2025:18:33:56 +0000] - 3.605 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [09/Jan/2025:18:33:56 +0000] - 2.574 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [09/Jan/2025:18:33:57 +0000] - 47.823 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [09/Jan/2025:18:33:57 +0000] - 46.904 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [09/Jan/2025:18:33:57 +0000] - 211.926 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [09/Jan/2025:18:33:57 +0000] - 212.368 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [09/Jan/2025:18:33:57 +0000] - 214.965 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [09/Jan/2025:18:33:57 +0000] - 356.271 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [09/Jan/2025:18:33:57 +0000] - 188.788 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [09/Jan/2025:18:33:57 +0000] - 174.425 ms localhost
GET /favicon.ico 304 [09/Jan/2025:18:33:57 +0000] - 46.360 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [09/Jan/2025:18:33:57 +0000] - 177.181 ms localhost
