GET / - [21/Feb/2025:18:31:34 +0000] - - ms localhost
GET / 200 [21/Feb/2025:18:31:43 +0000] - 42.952 ms localhost
GET /@vite/client 304 [21/Feb/2025:18:31:43 +0000] - 6.479 ms localhost
GET /styles.css 200 [21/Feb/2025:18:31:43 +0000] - 6.540 ms localhost
GET /polyfills.js 304 [21/Feb/2025:18:31:43 +0000] - 3.967 ms localhost
GET /main.js 200 [21/Feb/2025:18:31:44 +0000] - 4.088 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [21/Feb/2025:18:31:44 +0000] - 4.035 ms localhost
GET /chunk-2BMPWME6.js 200 [21/Feb/2025:18:31:44 +0000] - 5.636 ms localhost
GET /chunk-JK2OZDZD.js 304 [21/Feb/2025:18:31:44 +0000] - 5.160 ms localhost
GET /chunk-MVVCEGMG.js 304 [21/Feb/2025:18:31:44 +0000] - 5.757 ms localhost
GET /styles.css.map 200 [21/Feb/2025:18:31:44 +0000] - 5.531 ms localhost
GET /chunk-TXSUJD4P.js 200 [21/Feb/2025:18:31:44 +0000] - 6.910 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [21/Feb/2025:18:31:45 +0000] - 19.860 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-XWLXMCJQ.js.map 304 [21/Feb/2025:18:31:45 +0000] - 13.979 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [21/Feb/2025:18:31:45 +0000] - 19.168 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-66JPAEYR.js.map 304 [21/Feb/2025:18:31:45 +0000] - 33.665 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-BKIWMXDL.js.map 304 [21/Feb/2025:18:31:45 +0000] - 164.901 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [21/Feb/2025:18:31:45 +0000] - 49.216 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-F4ZW7LLY.js.map 304 [21/Feb/2025:18:31:45 +0000] - 30.760 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-ZKQIAUIS.js.map 304 [21/Feb/2025:18:31:45 +0000] - 61.012 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [21/Feb/2025:18:31:45 +0000] - 64.288 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-2ZWNOPXZ.js.map 304 [21/Feb/2025:18:31:45 +0000] - 73.962 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [21/Feb/2025:18:31:45 +0000] - 25.313 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/ngx-socket-io.js.map 304 [21/Feb/2025:18:31:45 +0000] - 22.027 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-7MS5FTBZ.js.map 304 [21/Feb/2025:18:31:45 +0000] - 24.123 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [21/Feb/2025:18:31:45 +0000] - 16.609 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/emoji-picker-element.js.map 304 [21/Feb/2025:18:31:45 +0000] - 18.843 ms localhost
GET /chunk-KSELMSGV.js 304 [21/Feb/2025:18:31:46 +0000] - 6.202 ms localhost
GET /chunk-AD6BEBTX.js 304 [21/Feb/2025:18:31:47 +0000] - 2.862 ms localhost
GET /chunk-MQDO5BT4.js 304 [21/Feb/2025:18:31:47 +0000] - 6.700 ms localhost
GET /chunk-F64TRUFE.js 304 [21/Feb/2025:18:31:47 +0000] - 3.340 ms localhost
GET /favicon.ico 304 [21/Feb/2025:18:31:47 +0000] - 6.219 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [21/Feb/2025:18:31:47 +0000] - 3.980 ms localhost
GET /login.component.css.map 200 [21/Feb/2025:18:31:48 +0000] - 5.383 ms localhost
GET / - [21/Feb/2025:18:35:44 +0000] - - ms localhost
GET /login 200 [21/Feb/2025:18:42:23 +0000] - 107.476 ms localhost
GET /@vite/client 304 [21/Feb/2025:18:42:24 +0000] - 23.557 ms localhost
GET /styles.css 200 [21/Feb/2025:18:42:25 +0000] - 7.162 ms localhost
GET /polyfills.js 304 [21/Feb/2025:18:42:25 +0000] - 3.852 ms localhost
GET /main.js 200 [21/Feb/2025:18:42:25 +0000] - 4.272 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [21/Feb/2025:18:42:25 +0000] - 3.176 ms localhost
GET /styles.css.map 200 [21/Feb/2025:18:42:25 +0000] - 5.323 ms localhost
GET /chunk-2BMPWME6.js 304 [21/Feb/2025:18:42:25 +0000] - 9.757 ms localhost
GET /chunk-JK2OZDZD.js 304 [21/Feb/2025:18:42:25 +0000] - 11.431 ms localhost
GET /chunk-ADP4JBOJ.js 200 [21/Feb/2025:18:42:25 +0000] - 12.898 ms localhost
GET /chunk-HL34NSUB.js 200 [21/Feb/2025:18:42:26 +0000] - 6.701 ms localhost
GET /chunk-KSELMSGV.js 304 [21/Feb/2025:18:42:27 +0000] - 4.982 ms localhost
GET /chunk-AD6BEBTX.js 304 [21/Feb/2025:18:42:27 +0000] - 5.628 ms localhost
GET /chunk-MQDO5BT4.js 304 [21/Feb/2025:18:42:27 +0000] - 5.435 ms localhost
GET /chunk-F64TRUFE.js 304 [21/Feb/2025:18:42:27 +0000] - 7.182 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [21/Feb/2025:18:42:27 +0000] - 14.619 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-66JPAEYR.js.map 304 [21/Feb/2025:18:42:27 +0000] - 22.554 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-XWLXMCJQ.js.map 304 [21/Feb/2025:18:42:27 +0000] - 23.423 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-BKIWMXDL.js.map 304 [21/Feb/2025:18:42:27 +0000] - 76.383 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [21/Feb/2025:18:42:27 +0000] - 67.382 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [21/Feb/2025:18:42:27 +0000] - 94.327 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-F4ZW7LLY.js.map 304 [21/Feb/2025:18:42:27 +0000] - 86.255 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-2ZWNOPXZ.js.map 304 [21/Feb/2025:18:42:27 +0000] - 84.464 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [21/Feb/2025:18:42:27 +0000] - 24.361 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-ZKQIAUIS.js.map 304 [21/Feb/2025:18:42:27 +0000] - 8.204 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [21/Feb/2025:18:42:27 +0000] - 11.597 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/ngx-socket-io.js.map 304 [21/Feb/2025:18:42:27 +0000] - 12.682 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [21/Feb/2025:18:42:27 +0000] - 17.124 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-7MS5FTBZ.js.map 304 [21/Feb/2025:18:42:27 +0000] - 24.401 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/emoji-picker-element.js.map 304 [21/Feb/2025:18:42:27 +0000] - 24.372 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [21/Feb/2025:18:42:27 +0000] - 7.207 ms localhost
GET /login.component.css.map 200 [21/Feb/2025:18:42:27 +0000] - 2.563 ms localhost
GET /favicon.ico 304 [21/Feb/2025:18:42:27 +0000] - 7.160 ms localhost
GET / - [21/Feb/2025:18:46:25 +0000] - - ms localhost
GET /login 200 [21/Feb/2025:18:47:17 +0000] - 46.094 ms localhost
GET /@vite/client 304 [21/Feb/2025:18:47:17 +0000] - 14.271 ms localhost
GET /styles.css 200 [21/Feb/2025:18:47:17 +0000] - 7.051 ms localhost
GET /polyfills.js 304 [21/Feb/2025:18:47:17 +0000] - 3.455 ms localhost
GET /main.js 200 [21/Feb/2025:18:47:17 +0000] - 25.028 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [21/Feb/2025:18:47:17 +0000] - 5.043 ms localhost
GET /styles.css.map 200 [21/Feb/2025:18:47:18 +0000] - 6.592 ms localhost
GET /chunk-ZVXQP2MQ.js 200 [21/Feb/2025:18:47:18 +0000] - 10.909 ms localhost
GET /chunk-JK2OZDZD.js 304 [21/Feb/2025:18:47:18 +0000] - 13.183 ms localhost
GET /chunk-ADP4JBOJ.js 304 [21/Feb/2025:18:47:18 +0000] - 3.463 ms localhost
GET /chunk-IISVICFO.js 200 [21/Feb/2025:18:47:20 +0000] - 10.349 ms localhost
GET /chunk-KSELMSGV.js 304 [21/Feb/2025:18:47:20 +0000] - 9.518 ms localhost
GET /chunk-AD6BEBTX.js 304 [21/Feb/2025:18:47:20 +0000] - 4.940 ms localhost
GET /chunk-MQDO5BT4.js 304 [21/Feb/2025:18:47:20 +0000] - 7.668 ms localhost
GET /chunk-F64TRUFE.js 304 [21/Feb/2025:18:47:20 +0000] - 2.835 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [21/Feb/2025:18:47:21 +0000] - 5.542 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-66JPAEYR.js.map 304 [21/Feb/2025:18:47:21 +0000] - 22.519 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-BKIWMXDL.js.map 304 [21/Feb/2025:18:47:21 +0000] - 87.874 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-XWLXMCJQ.js.map 304 [21/Feb/2025:18:47:21 +0000] - 88.940 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [21/Feb/2025:18:47:21 +0000] - 100.424 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [21/Feb/2025:18:47:21 +0000] - 92.570 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-F4ZW7LLY.js.map 304 [21/Feb/2025:18:47:21 +0000] - 50.022 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-2ZWNOPXZ.js.map 304 [21/Feb/2025:18:47:21 +0000] - 49.605 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [21/Feb/2025:18:47:21 +0000] - 45.063 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-ZKQIAUIS.js.map 304 [21/Feb/2025:18:47:21 +0000] - 33.733 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [21/Feb/2025:18:47:21 +0000] - 29.156 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/ngx-socket-io.js.map 304 [21/Feb/2025:18:47:21 +0000] - 27.851 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-7MS5FTBZ.js.map 304 [21/Feb/2025:18:47:21 +0000] - 25.216 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [21/Feb/2025:18:47:21 +0000] - 27.561 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/emoji-picker-element.js.map 304 [21/Feb/2025:18:47:21 +0000] - 22.006 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [21/Feb/2025:18:47:21 +0000] - 3.891 ms localhost
GET /favicon.ico 304 [21/Feb/2025:18:47:21 +0000] - 8.198 ms localhost
GET /login.component.css.map 200 [21/Feb/2025:18:47:21 +0000] - 8.393 ms localhost
GET / - [21/Feb/2025:18:51:18 +0000] - - ms localhost
GET /login 200 [21/Feb/2025:18:52:24 +0000] - 67.295 ms localhost
GET /@vite/client 304 [21/Feb/2025:18:52:24 +0000] - 7.513 ms localhost
GET /styles.css 200 [21/Feb/2025:18:52:24 +0000] - 9.813 ms localhost
GET /polyfills.js 304 [21/Feb/2025:18:52:25 +0000] - 10.793 ms localhost
GET /main.js 200 [21/Feb/2025:18:52:25 +0000] - 10.697 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [21/Feb/2025:18:52:25 +0000] - 8.222 ms localhost
GET /styles.css.map 200 [21/Feb/2025:18:52:25 +0000] - 39.642 ms localhost
GET /chunk-ZVXQP2MQ.js 304 [21/Feb/2025:18:52:25 +0000] - 9.118 ms localhost
GET /chunk-JK2OZDZD.js 304 [21/Feb/2025:18:52:25 +0000] - 10.122 ms localhost
GET /chunk-ADP4JBOJ.js 304 [21/Feb/2025:18:52:26 +0000] - 3.785 ms localhost
GET /chunk-IISVICFO.js 304 [21/Feb/2025:18:52:26 +0000] - 2.866 ms localhost
GET /chunk-KSELMSGV.js 304 [21/Feb/2025:18:52:28 +0000] - 11.330 ms localhost
GET /chunk-AD6BEBTX.js 304 [21/Feb/2025:18:52:28 +0000] - 11.490 ms localhost
