GET / 200 [26/Mar/2025:19:03:58 +0000] - 364.677 ms localhost
GET /styles.css 200 [26/Mar/2025:19:03:59 +0000] - 604.430 ms localhost
GET /@vite/client 200 [26/Mar/2025:19:03:59 +0000] - 710.495 ms localhost
GET /polyfills.js 200 [26/Mar/2025:19:03:59 +0000] - 127.304 ms localhost
GET /main.js 200 [26/Mar/2025:19:03:59 +0000] - 133.267 ms localhost
GET /scripts.js 200 [26/Mar/2025:19:03:59 +0000] - 143.558 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 200 [26/Mar/2025:19:04:00 +0000] - 66.948 ms localhost
GET /chunk-JK2OZDZD.js 200 [26/Mar/2025:19:04:00 +0000] - 63.971 ms localhost
GET /chunk-HKMYLSTC.js 200 [26/Mar/2025:19:04:00 +0000] - 64.799 ms localhost
GET /chunk-QBZTD4QJ.js 200 [26/Mar/2025:19:04:00 +0000] - 58.568 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_platform-browser.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 43.107 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_core.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 39.692 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_router.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 24.416 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_common_http.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 21.825 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/rxjs.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 22.488 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/ngx-socket-io.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 50.670 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_forms.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 56.334 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/emoji-picker-element.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 56.228 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-TI4NIV3R.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 7.966 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-KHJLBV7G.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 13.391 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-UWVBNKXZ.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 15.521 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-KPU55VW5.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 14.466 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-P6U2JBMQ.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 6.952 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-XWLXMCJQ.js?v=ffa03c27 200 [26/Mar/2025:19:04:00 +0000] - 8.159 ms localhost
GET /chunk-2FULL2SU.js 200 [26/Mar/2025:19:04:01 +0000] - 18.764 ms localhost
GET /favicon.ico 200 [26/Mar/2025:19:04:01 +0000] - 23.440 ms localhost
GET /chunk-KSELMSGV.js 200 [26/Mar/2025:19:04:01 +0000] - 5.356 ms localhost
GET /chunk-NEDMBWF5.js 200 [26/Mar/2025:19:04:01 +0000] - 16.088 ms localhost
GET /chunk-J7PPH75M.js 200 [26/Mar/2025:19:04:01 +0000] - 16.896 ms localhost
GET /chunk-KJ77OHGA.js 200 [26/Mar/2025:19:04:01 +0000] - 18.056 ms localhost
POST /api/user/login 200 [26/Mar/2025:19:04:11 +0000] - 1346.476 ms localhost
GET /chunk-V7SGGB7X.js 200 [26/Mar/2025:19:04:11 +0000] - 12.060 ms localhost
GET /chunk-ZU4AMZ3G.js 200 [26/Mar/2025:19:04:12 +0000] - 60.483 ms localhost
GET /chunk-DECMEX32.js 200 [26/Mar/2025:19:04:12 +0000] - 71.643 ms localhost
GET /chunk-EQCVV7QT.js 200 [26/Mar/2025:19:04:12 +0000] - 8.681 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/bootstrap.js?v=ffa03c27 200 [26/Mar/2025:19:04:12 +0000] - 19.216 ms localhost
