GET / - [24/Jan/2025:21:26:25 +0000] - - ms localhost
GET /login 200 [25/Jan/2025:09:49:11 +0000] - 449.877 ms localhost
GET /@vite/client 304 [25/Jan/2025:09:49:51 +0000] - 16.869 ms localhost
GET /styles.css 200 [25/Jan/2025:09:49:51 +0000] - 21.866 ms localhost
GET /polyfills.js 304 [25/Jan/2025:09:49:56 +0000] - 7.408 ms localhost
GET /main.js 304 [25/Jan/2025:09:49:56 +0000] - 5.939 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [25/Jan/2025:09:49:57 +0000] - 2.729 ms localhost
GET /favicon.ico 304 [25/Jan/2025:09:50:01 +0000] - 19.218 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [25/Jan/2025:09:50:05 +0000] - 54.852 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-ZKQIAUIS.js.map 304 [25/Jan/2025:09:50:05 +0000] - 64.042 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-2ZWNOPXZ.js.map 304 [25/Jan/2025:09:50:05 +0000] - 149.006 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-F4ZW7LLY.js.map 304 [25/Jan/2025:09:50:05 +0000] - 160.248 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-66JPAEYR.js.map 304 [25/Jan/2025:09:50:05 +0000] - 149.016 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-XWLXMCJQ.js.map 304 [25/Jan/2025:09:50:05 +0000] - 101.207 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [25/Jan/2025:09:50:05 +0000] - 99.057 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [25/Jan/2025:09:50:05 +0000] - 32.720 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-BKIWMXDL.js.map 304 [25/Jan/2025:09:50:05 +0000] - 225.475 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [25/Jan/2025:09:50:05 +0000] - 174.119 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [25/Jan/2025:09:50:05 +0000] - 567.102 ms localhost
GET /styles.css.map 200 [25/Jan/2025:09:50:05 +0000] - 422.090 ms localhost
GET /login.component.css.map 200 [25/Jan/2025:09:50:05 +0000] - 63.478 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [25/Jan/2025:09:50:05 +0000] - 624.827 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [25/Jan/2025:09:50:05 +0000] - 731.466 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/ngx-socket-io.js.map 304 [25/Jan/2025:09:50:05 +0000] - 736.393 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-7MS5FTBZ.js.map 304 [25/Jan/2025:09:50:05 +0000] - 715.658 ms localhost
GET / - [25/Jan/2025:09:54:03 +0000] - - ms localhost
GET /login 200 [25/Jan/2025:10:53:33 +0000] - 214.284 ms localhost
GET /@vite/client 304 [25/Jan/2025:10:53:33 +0000] - 10.563 ms localhost
GET /styles.css 200 [25/Jan/2025:10:53:33 +0000] - 6.720 ms localhost
GET /polyfills.js 304 [25/Jan/2025:10:53:34 +0000] - 6.033 ms localhost
GET /main.js 304 [25/Jan/2025:10:53:35 +0000] - 2.623 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [25/Jan/2025:10:53:37 +0000] - 6.447 ms localhost
GET /favicon.ico 304 [25/Jan/2025:10:53:40 +0000] - 19.059 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [25/Jan/2025:10:53:41 +0000] - 316.829 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-ZKQIAUIS.js.map 304 [25/Jan/2025:10:53:41 +0000] - 331.177 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-XWLXMCJQ.js.map 304 [25/Jan/2025:10:53:41 +0000] - 342.374 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-2ZWNOPXZ.js.map 304 [25/Jan/2025:10:53:41 +0000] - 387.632 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-F4ZW7LLY.js.map 304 [25/Jan/2025:10:53:41 +0000] - 401.923 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [25/Jan/2025:10:53:41 +0000] - 104.396 ms localhost
